split,variant,method,alpha,condition,max_goals,matches,accuracy,log_loss,brier_score,correct_score_top1_accuracy,correct_score_top3_accuracy,correct_score_top5_accuracy,goal_difference_exact_accuracy,goal_difference_plus_minus_1_accuracy,actual_gd_3_plus_rate,predicted_gd_3_plus_probability,gd_3_plus_calibration_error,actual_favorite_win_by_3_plus_rate,predicted_favorite_win_by_3_plus_probability,favorite_win_by_3_plus_calibration_error,actual_total_goals_4_plus_rate,predicted_total_goals_4_plus_probability,total_goals_4_plus_calibration_error,blowout_bucket_weighted_abs_error,score_matrix_kl_drift,score_matrix_mad_drift
all_pooled,favorite_tail_boost_alpha_0.15,favorite_tail_boost,0.15,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12478632478632479,0.33418803418803417,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.1612565768107729,0.0028459872917911966,0.14017094017094017,0.13609061886332816,0.004080321307612017,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.012017458271142003,0.0051242732044563906,0.001312523217652866
all_pooled,favorite_tail_boost_alpha_0.18,favorite_tail_boost,0.18,none,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12478632478632479,0.3367521367521368,0.48717948717948717,0.27521367521367524,0.6461538461538462,0.1641025641025641,0.16598166039432322,0.0018790962917591136,0.14017094017094017,0.14081570244687847,0.0006447622759382932,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.008980491586868242,0.007291787732626255,0.0015750278611834391
fifa_world_cup_only,baseline,baseline,,none,5,881,0.5527809307604994,0.979602540596295,0.5799736836725624,0.1191827468785471,0.3280363223609535,0.4733257661748014,0.2690124858115778,0.6367763904653803,0.1793416572077185,0.13972070723446556,0.03962094997325294,0.15664018161180476,0.11492485206337795,0.04171532954842681,0.31101021566401815,0.281367609671894,0.02964260599212415,0.04477340147162691,0.0,0.0
fifa_world_cup_only,gd_tail_redistribution_alpha_0.04,gd_tail_redistribution,0.04,none,5,881,0.5527809307604994,0.9796025405962951,0.5799736836725625,0.1191827468785471,0.3246311010215664,0.4733257661748014,0.26787741203178206,0.6367763904653803,0.1793416572077185,0.14857121510953475,0.030770442098183748,0.15664018161180476,0.12127953257571208,0.03536064903609268,0.31101021566401815,0.281367609671894,0.02964260599212415,0.0354382719175451,0.0005960859602427268,0.0004916948819482884
fifa_world_cup_only,gd_tail_redistribution_alpha_0.06,gd_tail_redistribution,0.06,none,5,881,0.5527809307604994,0.9796025405962951,0.5799736836725625,0.1191827468785471,0.3257661748013621,0.47559591373439275,0.2690124858115778,0.637911464245176,0.1793416572077185,0.15299646904706934,0.026345188160649152,0.15664018161180476,0.12445687283187915,0.03218330877992562,0.31101021566401815,0.281367609671894,0.02964260599212415,0.03077822122975617,0.0013167020262286125,0.0007375423229224324
fifa_world_cup_only,gd_tail_redistribution_alpha_0.08,gd_tail_redistribution,0.08,none,5,881,0.5527809307604994,0.9796025405962954,0.5799736836725624,0.1191827468785471,0.32690124858115777,0.4778660612939841,0.2690124858115778,0.637911464245176,0.1793416572077185,0.15742172298460394,0.021919934223114557,0.15664018161180476,0.1276342130880462,0.029005968523758557,0.31101021566401815,0.281367609671894,0.02964260599212415,0.02665180839989291,0.0023016694179728713,0.0009833897638965767
fifa_world_cup_only,gd_tail_redistribution_alpha_0.10,gd_tail_redistribution,0.1,none,5,881,0.5527809307604994,0.9796025405962953,0.5799736836725625,0.11691259931895573,0.3280363223609535,0.4778660612939841,0.26787741203178206,0.6367763904653803,0.1793416572077185,0.16184697692213854,0.01749468028557996,0.15664018161180476,0.13081155334421327,0.025828628267591497,0.31101021566401815,0.281367609671894,0.02964260599212415,0.02262544994950335,0.003541320681410549,0.0012292372048707209
fifa_world_cup_only,gd_tail_redistribution_alpha_0.12,gd_tail_redistribution,0.12,none,5,881,0.5527809307604994,0.9796025405962954,0.5799736836725625,0.11577752553916004,0.32349602724177073,0.4801362088535755,0.26787741203178206,0.637911464245176,0.1793416572077185,0.16627223085967313,0.013069426348045365,0.15664018161180476,0.13398889360038033,0.022651288011424436,0.31101021566401815,0.281367609671894,0.02964260599212415,0.022326795389378387,0.005028140337318067,0.0014750846458448648
fifa_world_cup_only,gd_tail_redistribution_alpha_0.14,gd_tail_redistribution,0.14,none,5,881,0.5527809307604994,0.9796025405962951,0.5799736836725625,0.11577752553916004,0.32349602724177073,0.48127128263337116,0.26787741203178206,0.6367763904653803,0.1793416572077185,0.17069748479720773,0.00864417241051077,0.15664018161180476,0.13716623385654741,0.019473947755257348,0.31101021566401815,0.281367609671894,0.02964260599212415,0.018564701120131148,0.006756459352359192,0.0017209320868190091
fifa_world_cup_only,favorite_tail_boost_alpha_0.08,favorite_tail_boost,0.08,none,5,881,0.5527809307604994,0.9796025405962953,0.5799736836725624,0.1191827468785471,0.32690124858115777,0.4778660612939841,0.2690124858115778,0.637911464245176,0.1793416572077185,0.1524300682591338,0.026911588948584697,0.15664018161180476,0.1276342130880462,0.029005968523758557,0.31101021566401815,0.281367609671894,0.02964260599212415,0.03358127091604738,0.0015175019240260528,0.0007060756124815698
fifa_world_cup_only,favorite_tail_boost_alpha_0.10,favorite_tail_boost,0.1,none,5,881,0.5527809307604994,0.9796025405962953,0.5799736836725624,0.11691259931895573,0.3280363223609535,0.4778660612939841,0.26787741203178206,0.6367763904653803,0.1793416572077185,0.1556074085153009,0.02373424869241761,0.15664018161180476,0.13081155334421327,0.025828628267591497,0.31101021566401815,0.281367609671894,0.02964260599212415,0.02884185356930646,0.0023443385540420506,0.0008825945156019623
fifa_world_cup_only,favorite_tail_boost_alpha_0.12,favorite_tail_boost,0.12,none,5,881,0.5527809307604994,0.9796025405962953,0.5799736836725625,0.11577752553916004,0.32349602724177073,0.4801362088535755,0.26787741203178206,0.637911464245176,0.1793416572077185,0.15878474877146795,0.02055690843625055,0.15664018161180476,0.13398889360038033,0.022651288011424436,0.31101021566401815,0.281367609671894,0.02964260599212415,0.026443239400595016,0.003341102615085863,0.0010591134187223547
fifa_world_cup_only,favorite_tail_boost_alpha_0.15,favorite_tail_boost,0.15,none,5,881,0.5527809307604994,0.9796025405962951,0.5799736836725624,0.11577752553916004,0.3246311010215664,0.4790011350737798,0.26787741203178206,0.6367763904653803,0.1793416572077185,0.16355075915571854,0.015790898051999958,0.15664018161180476,0.13875490398463095,0.017885277627173818,0.31101021566401815,0.281367609671894,0.02964260599212415,0.02459667315713372,0.005149267278980607,0.0013238917734029433
fifa_world_cup_only,favorite_tail_boost_alpha_0.18,favorite_tail_boost,0.18,none,5,881,0.5527809307604994,0.9796025405962951,0.5799736836725625,0.11577752553916004,0.3257661748013621,0.4790011350737798,0.26787741203178206,0.637911464245176,0.1793416572077185,0.16831676953996913,0.011024887667749367,0.15664018161180476,0.14352091436888154,0.013119267242923227,0.31101021566401815,0.281367609671894,0.02964260599212415,0.02300656419095788,0.0073286867918665125,0.0015886701280835318
uefa_euro_only,baseline,baseline,,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.35986159169550175,0.5190311418685121,0.30103806228373703,0.671280276816609,0.11764705882352941,0.13126129007360135,0.01361423125007194,0.08996539792387544,0.10496709494286716,0.01500169701899172,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.013614231250071926,0.0,0.0
uefa_euro_only,gd_tail_redistribution_alpha_0.04,gd_tail_redistribution,0.04,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.3737024221453287,0.5224913494809689,0.2975778546712803,0.671280276816609,0.11764705882352941,0.14003106385024627,0.022384005026716863,0.08996539792387544,0.11110085570055618,0.021135457776680744,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.02238400502671685,0.0005996243785688646,0.0004872096542580517
uefa_euro_only,gd_tail_redistribution_alpha_0.06,gd_tail_redistribution,0.06,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.15570934256055363,0.370242214532872,0.5190311418685121,0.2975778546712803,0.671280276816609,0.11764705882352941,0.14441595073856872,0.02676889191503931,0.08996539792387544,0.1141677360794007,0.024202338155525263,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.026768891915039315,0.0013239948989897438,0.0007308144813870774
uefa_euro_only,gd_tail_redistribution_alpha_0.08,gd_tail_redistribution,0.08,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.15570934256055363,0.370242214532872,0.5190311418685121,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1488008376268912,0.031153778803361787,0.08996539792387544,0.1172346164582452,0.02726921853436977,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.031153778803361783,0.0023134972380759113,0.0009744193085161033
uefa_euro_only,gd_tail_redistribution_alpha_0.10,gd_tail_redistribution,0.1,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.3737024221453287,0.5155709342560554,0.2975778546712803,0.671280276816609,0.11764705882352941,0.15318572451521367,0.03553866569168426,0.08996539792387544,0.12030149683708972,0.030336098913214288,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.03823706626203063,0.0035581120291647192,0.001218024135645129
uefa_euro_only,gd_tail_redistribution_alpha_0.12,gd_tail_redistribution,0.12,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.370242214532872,0.5121107266435986,0.2975778546712803,0.671280276816609,0.11764705882352941,0.15757061140353612,0.03992355258000671,0.08996539792387544,0.12336837721593423,0.03340297929205879,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.0399235525800067,0.005050013179418724,0.0014616289627741549
uefa_euro_only,gd_tail_redistribution_alpha_0.14,gd_tail_redistribution,0.14,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.370242214532872,0.5121107266435986,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1619554982918586,0.044308439468329186,0.08996539792387544,0.12643525759477875,0.03646985967090331,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.04430843946832919,0.006783256950914883,0.0017052337899031809
uefa_euro_only,favorite_tail_boost_alpha_0.08,favorite_tail_boost,0.08,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.15570934256055363,0.370242214532872,0.5190311418685121,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1435288115889794,0.02588175276544999,0.08996539792387544,0.1172346164582452,0.02726921853436977,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.025881752765449982,0.0014905918385139153,0.0006815289730765585
uefa_euro_only,favorite_tail_boost_alpha_0.10,favorite_tail_boost,0.1,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.3737024221453287,0.5155709342560554,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1465956919678239,0.028948633144294494,0.08996539792387544,0.12030149683708972,0.030336098913214288,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.0289486331442945,0.002301403322704562,0.0008519112163456981
uefa_euro_only,favorite_tail_boost_alpha_0.12,favorite_tail_boost,0.12,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.370242214532872,0.5121107266435986,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1496625723466684,0.032015513523139,0.08996539792387544,0.12336837721593423,0.03340297929205879,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.03441813424911304,0.0032780633524744853,0.0010222934596148376
uefa_euro_only,favorite_tail_boost_alpha_0.15,favorite_tail_boost,0.15,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.3633217993079585,0.5121107266435986,0.2975778546712803,0.671280276816609,0.11764705882352941,0.1542628929149352,0.036615834091405786,0.08996539792387544,0.127968697784201,0.038003299860325565,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.03661583409140577,0.005048080195266653,0.0012778668245185469
uefa_euro_only,favorite_tail_boost_alpha_0.18,favorite_tail_boost,0.18,none,5,289,0.47058823529411764,1.0368867443580578,0.6230543204124144,0.1522491349480969,0.370242214532872,0.5121107266435986,0.2975778546712803,0.671280276816609,0.11764705882352941,0.15886321348320195,0.041216154659672544,0.08996539792387544,0.13256901835246776,0.04260362042859232,0.19377162629757785,0.28208363661595615,0.08831201031837829,0.04355446316808905,0.0071793030572260205,0.0015334401894222564
modern_era_1990_plus,baseline,baseline,,none,5,784,0.5229591836734694,1.0026606105656815,0.5968720355336372,0.13137755102040816,0.350765306122449,0.5242346938775511,0.29209183673469385,0.6696428571428571,0.13903061224489796,0.1391252995703897,9.468732549172687e-05,0.11862244897959184,0.11466057045980879,0.003961878519783052,0.22959183673469388,0.2814118821805387,0.051820045445844815,0.013729513576697168,0.0,0.0
modern_era_1990_plus,gd_tail_redistribution_alpha_0.04,gd_tail_redistribution,0.04,none,5,784,0.5229591836734694,1.0026606105656815,0.5968720355336372,0.13010204081632654,0.35331632653061223,0.5229591836734694,0.2895408163265306,0.6696428571428571,0.13903061224489796,0.14797130415258125,0.00894069190768329,0.11862244897959184,0.12102465628921771,0.00240220730962587,0.22959183673469388,0.2814118821805387,0.051820045445844815,0.0089406919076833,0.0005963477944240062,0.0004914446990106426
modern_era_1990_plus,gd_tail_redistribution_alpha_0.06,gd_tail_redistribution,0.06,none,5,784,0.5229591836734694,1.0026606105656815,0.5968720355336372,0.13137755102040816,0.35331632653061223,0.5229591836734694,0.29081632653061223,0.6709183673469388,0.13903061224489796,0.15239430644367705,0.013363694198779086,0.11862244897959184,0.12420669920392217,0.005584250224330331,0.22959183673469388,0.2814118821805387,0.051820045445844815,0.01336369419877908,0.0013172460561808774,0.0007371670485159639
