base_home,base_away,c1,matches,home_goal_mae,away_goal_mae,total_goals_mae,goal_difference_mae,poisson_log_loss,brier_score,predicted_avg_home_goals,predicted_avg_away_goals,predicted_avg_total_goals,actual_avg_home_goals,actual_avg_away_goals,actual_avg_total_goals,predicted_minus_actual_total_goals
1.2,1.3,0.75,48175,1.143391282864072,0.9428047349533645,1.5546998234234561,1.5369166035117454,0.9716119786028501,0.5778097963202832,1.2225320239859538,1.2799338893570318,2.5024659133429856,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.3975652231385918
1.2,1.3,1.0,48175,1.132513718809341,0.9371051993494551,1.5500430794241826,1.5223171361355705,0.9683597448771669,0.5735399072015713,1.2352888140138154,1.2777982628009918,2.5130870768148075,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.3869440596667699
1.2,1.3,1.25,48175,1.1279745080294066,0.9405155837624402,1.5439757981161275,1.5312364550943898,0.9815819360634606,0.5769336761987125,1.254012612171366,1.2817469709818372,2.535759583153203,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.36427155332837424
1.2,1.3,1.5,48175,1.1283665461340944,0.9508777915492129,1.5384833727410483,1.5561129334973187,1.0060072141393201,0.5846672904767466,1.2784681594564953,1.2922279892556305,2.570696148712126,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.32933498776945136
1.2,1.4,0.5,48175,1.1621501904048435,0.9963262034107594,1.5524146113686905,1.6097694682475234,1.0120846243807369,0.6059111859060745,1.2140837095637433,1.385968744321513,2.6000524538852563,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.2999786825963211
1.2,1.4,0.75,48175,1.143391282864072,0.973402669463553,1.5512249776486422,1.566412136664591,0.9889227889830767,0.5895273525496811,1.2225320239859538,1.3794971952801935,2.6020292192661474,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.29800191721543
1.2,1.4,1.0,48175,1.132513718809341,0.9642349677551058,1.5475722298949433,1.5504925437305657,0.9846931040253784,0.5842208641953833,1.2352888140138154,1.375889586693098,2.6111784007069136,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.28885273577466375
1.2,1.4,1.25,48175,1.1279745080294066,0.9659587440926022,1.5428309342199158,1.5579836988677853,0.9965449329477521,0.5864485409127589,1.254012612171366,1.3774192343185145,2.6314318464898805,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.2685992899916969
1.2,1.4,1.5,48175,1.1283665461340944,0.9756279473576198,1.5387936273697285,1.581719524573949,1.0194575246757804,0.5931178137502912,1.2784681594564953,1.384945156483515,2.6634133159400104,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.236617820541567
1.3,1.0,0.5,48175,1.160358757839382,0.8987470196172288,1.5636972858732399,1.5102448141138443,0.9514801276377876,0.5643974717009637,1.314051888177847,0.9863314635201291,2.300383351697976,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.5996477847836013
1.3,1.0,0.75,48175,1.13625212415973,0.8938300400143228,1.560064538756236,1.469511931053278,0.92969275632758,0.5499125026385068,1.321893792455665,0.983952623974468,2.305846416430133,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.5941847200514445
1.3,1.0,1.0,48175,1.12328422434061,0.8942017899788502,1.5521801148955543,1.4589325915295854,0.9286004706495011,0.5474699833064659,1.3330204398314478,0.9899634376556766,2.3229838774871245,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.5770472589944529
1.3,1.0,1.25,48175,1.118656170563109,0.8997663316366258,1.5428371947734532,1.4698983177730496,0.9439564204004262,0.5527075311010565,1.349211001221242,1.0045423520063426,2.3537533532275843,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.5462777832539931
1.3,1.0,1.5,48175,1.1203479316806089,0.9091021160988064,1.5345794940079571,1.4947230584643487,0.9698500384944674,0.562005253459047,1.370888356989033,1.0262025839190452,2.397090940908078,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.5029401955734993
1.3,1.1,0.5,48175,1.160358757839382,0.9095015357607565,1.560021460526783,1.5196447532277462,0.9575643496992188,0.5681956898125206,1.314051888177847,1.0861123032051896,2.4001641913830367,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.4998669450985407
1.3,1.1,0.75,48175,1.13625212415973,0.9022124110484345,1.557434409382529,1.478299794420481,0.9350488126219964,0.5534966112777804,1.321893792455665,1.0819171900198237,2.4038109824754885,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.4962201540060889
1.3,1.1,1.0,48175,1.12328422434061,0.9017165824589056,1.5508612759865306,1.4672155234829038,0.9325201474708595,0.5507537271072849,1.3330204398314478,1.0844413978765843,2.417461837708032,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.48256929877354526
1.3,1.1,1.25,48175,1.118656170563109,0.907397039307617,1.5426455238535433,1.478911371973707,0.9469315256820151,0.5558383070326889,1.349211001221242,1.0949009563711007,2.4441119575923427,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.4559191788892347
1.3,1.1,1.5,48175,1.1203479316806089,0.917831747152465,1.535468329544577,1.5055887925390763,0.9723284233546102,0.5651229372289409,1.370888356989033,1.1124289368825464,2.4833172938715795,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.4167138426099979
1.3,1.2,0.5,48175,1.160358757839382,0.9310023019082512,1.5562478205499857,1.534298218778435,0.9670397769599688,0.5744083344172745,1.314051888177847,1.1860185538535433,2.50007044203139,1.7350077841203944,1.1650233523611833,2.9000311364815774,-0.3999606944501872
