base,c1,scale,matches,goal_mae,team_a_goal_mae,team_b_goal_mae,total_goals_mae,goal_difference_mae,poisson_log_loss,brier_score,predicted_avg_team_a_goals,predicted_avg_team_b_goals,predicted_avg_total_goals,actual_avg_team_a_goals,actual_avg_team_b_goals,actual_avg_total_goals,predicted_minus_actual_total_goals
1.3,1.25,400.0,1170,0.9570588726428952,1.0130604813087607,0.9010572639770299,1.4310473909588675,1.3374446305208334,1.0045952655948647,0.592680380542136,1.4020966461324786,1.2075619043402779,2.6096585504727567,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.11598247516826898
1.3,1.25,450.0,1170,0.9521543433831909,1.0087685722507123,0.8955401145156695,1.430434025759734,1.320804290883191,0.9977197729247976,0.5904927360302183,1.389185737174739,1.2156820356742641,2.604867772849003,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12077325279202267
1.3,1.25,500.0,1170,0.949903808181624,1.0071098073589744,0.8926978090042735,1.4299196447521367,1.3118554233205129,0.995593442274147,0.5900941280516281,1.379355106260684,1.2229095890341881,2.6022646952948723,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12337633034615347
1.3,1.25,550.0,1170,0.9491714311179099,1.0069400329700855,0.8914028292657343,1.4296828541200466,1.3086526454914529,0.9952581892389941,0.5907077333748193,1.3716161180866355,1.2292199021678323,2.6008360202544676,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12480500538655814
1.3,1.5,350.0,1170,0.9832213698681319,1.0391280950451771,0.9273146446910867,1.4338553355482295,1.4208674793772893,1.0498455941899345,0.609092639106445,1.4512445862783883,1.1927181061831502,2.6439626924615385,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.08167833317948725
1.3,1.5,400.0,1170,0.9695887737580128,1.0254135070790598,0.9137640404369658,1.4316882836720086,1.3798497131463674,1.0264543335557166,0.6004471514890182,1.427367878707265,1.196614205909188,2.623982084616453,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.10165894102457251
1.3,1.5,450.0,1170,0.9607252640569801,1.0165823633447293,0.9048681647692308,1.4311753190028491,1.3505141345527065,1.0103867210066306,0.5947676236166024,1.4102284821367521,1.2033020451908831,2.6135305273276352,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.11211049831339048
1.3,1.5,500.0,1170,0.9550396129824786,1.0111990079,0.8988802180649573,1.4309191739581197,1.330632641963248,1.001530375908888,0.5916807693049243,1.397365386205983,1.2103344230923077,2.607699809298291,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.11794121634273491
1.3,1.5,550.0,1170,0.9516426377630147,1.0083573307101787,0.8949279448158508,1.4303095842657343,1.3187803753877234,0.9971108623795766,0.590319256275551,1.3873590501118882,1.2169757733317794,2.6043348234436676,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.1213062021973581
1.4,0.5,350.0,1170,0.9789884822490842,1.033103556819292,0.9248734076788766,1.4264957264957265,1.3223544945079364,1.0062106260981378,0.6010745955773292,1.444803316081807,1.3551966839181928,2.8,1.471794871794872,1.2538461538461538,2.7256410256410257,0.0743589743589741
