base,c1,scale,world_cup_matches,euro_matches,pooled_matches,world_cup_log_loss,euro_log_loss,pooled_log_loss,world_cup_brier_score,euro_brier_score,pooled_brier_score,world_cup_goal_difference_mae,euro_goal_difference_mae,pooled_goal_difference_mae,world_cup_predicted_avg_total_goals,euro_predicted_avg_total_goals,pooled_predicted_avg_total_goals,world_cup_actual_avg_total_goals,euro_actual_avg_total_goals,pooled_actual_avg_total_goals,world_cup_total_goal_error,euro_total_goal_error,pooled_total_goal_error,world_cup_abs_total_goal_error,euro_abs_total_goal_error,pooled_abs_total_goal_error
1.45,1.0,500.0,881,289,1170,0.981926895413841,1.0351727326015279,0.9950790722918256,0.5828793593285457,0.6220155718113521,0.5925463383093416,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.0,550.0,881,289,1170,0.9849942318327825,1.0359430038481656,0.9975790139801722,0.5854401352405648,0.622525559976755,0.5946005521198457,1.3594949214074914,1.1614095085121108,1.3105661313846153,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.0,600.0,881,289,1170,0.9884816715534915,1.0372336652140954,1.0005238306713664,0.5881075058669625,0.6233751265766256,0.5968189096149059,1.3644495901021567,1.158786143656286,1.313648961022792,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.1,500.0,881,289,1170,0.9801033350624281,1.0353336376937408,0.993745691866231,0.5808295185692903,0.6220712105560592,0.591016568983117,1.3534849231098751,1.170873118534256,1.3083782465950426,2.9000438603652667,2.9,2.900033026480171,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06916985355482419,0.4951557093425607,0.1743920008391453,0.06916985355482419,0.4951557093425607,0.1743920008391453
1.45,1.1,550.0,881,289,1170,0.981926895413841,1.0351727326015279,0.9950790722918256,0.5828793593285457,0.6220155718113521,0.5925463383093416,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.1,600.0,881,289,1170,0.9846910566443646,1.035846149718174,0.9973268018566134,0.5852004687283178,0.622462082701844,0.5944044058551127,1.3590381963390088,1.161774195592849,1.3103123021376069,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.2,500.0,881,289,1170,0.98007135444472,1.0363943598021772,0.99398361816122,0.5794655015144276,0.6226562497608727,0.5901339854829939,1.3543757006955732,1.177873956584083,1.3107782613381196,2.9004125920118047,2.9001380019653977,2.9003447659234185,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06953858520136214,0.4952937113079585,0.17470374028239277,0.06953858520136214,0.4952937113079585,0.17470374028239277
1.45,1.2,550.0,881,289,1170,0.9801975865450243,1.0352742969572244,0.9938020047579535,0.580985092931274,0.6220402481393168,0.5911260671664248,1.3535220447507996,1.1703760402290029,1.3082834162834498,2.900028885641523,2.9,2.900021750641181,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06915487883108051,0.4951557093425607,0.17438072500015522,0.06915487883108051,0.4951557093425607,0.17438072500015522
1.45,1.2,600.0,881,289,1170,0.981926895413841,1.0351727326015279,0.9950790722918256,0.5828793593285457,0.6220155718113521,0.5925463383093416,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.25,500.0,881,289,1170,0.9803733704264627,1.0371433816773175,0.9943960484191949,0.578996319380778,0.623098046461808,0.5898898229076305,1.3555303730419976,1.1824685651557094,1.3127826273333334,2.9007208113166856,2.9003239711937714,2.90062278841453,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06984680450624303,0.4954796805363322,0.1749817627735042,0.06984680450624303,0.4954796805363322,0.1749817627735042
1.45,1.25,550.0,881,289,1170,0.9798402750580535,1.0356625023879946,0.9936288423216035,0.5802486744183195,0.6222456375778848,0.5906222832671356,1.353648362813435,1.1731269226958163,1.3090580241860916,2.9001649872329995,2.9,2.9001242339763014,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06929098042255699,0.4951557093425607,0.17448320833527564,0.06929098042255699,0.4951557093425607,0.17448320833527564
1.45,1.25,600.0,881,289,1170,0.98095573279361,1.0351092585016464,0.9943321164941435,0.5819300095767794,0.6219619264882623,0.5918182352070507,1.3539923169125994,1.1677915324250288,1.307999131684473,2.9,2.9,2.9,2.8308740068104425,2.404844290657439,2.7256410256410257,0.06912599318955737,0.4951557093425607,0.17435897435897418,0.06912599318955737,0.4951557093425607,0.17435897435897418
1.45,1.3,500.0,881,289,1170,0.9806718819207874,1.0381390254658847,0.9948667575485924,0.5786633483133711,0.6236834602498293,0.589783700748957,1.3574671431139613,1.1875863777356401,1.3155051420931623,2.901192379708286,2.900509940422145,2.901023811371795,2.8308740068104425,2.404844290657439,2.7256410256410257,0.0703183728978436,0.49566564976470584,0.17538278573076926,0.0703183728978436,0.49566564976470584,0.17538278573076926
